name,vorname,titel,ort,empfangen,gesendet
Staatsmänner,in,,s.l.,1,0
Strigelius,Victorinus,,X j,1,0
Klarer,Ambro sius,,Winterthur,1,0
Bürgermeister,und. Rat,,von,1,0
Zanchi,Girolamo,,Strasstmrg,1,0
T,s.n.,,s.l.,1,0
UrSinu,Zaeharis,,UCLCljJLJfr j,1,0
piemontes.Verfolgungen,s.n.,,getrengten lüt zu nge,1,0
Fabrieins,Johannes,,s.l.,1,1
ifih,s.n.,,s.l.,1,0
Schulherren,s.n.,,Bern,1,0
Dyov,u. fLctb v.,,s.l.,1,0
Hauser,Honrad,,r,1,0
Cham,Bernhard,von,Zürich,1,0
Mont,Christophen,,Straburg,1,1
Wissenburg,Wolfgang,,s.l.,1,0
Bernenf,BielChur,,Prediger,1,0
Salis,Friedrich,von,Chur,1,7
lalliager,Haas Rulf,de,s.l.,1,0
Simler,Josias,,Zürich,1,2
iaäWer,s.n.,,Heimriek,1,0
Egli,Tebias,,s.l.,1,0
AmpelanderRebmann,s.n.,,Bern erhDez. . ,1,0
Fabridis,Johannes,,Chur,1,0
Erb,Matthias,,Rappoltsweier,1,0
Hebmann,Ampelanr,de,Bern,1,0
ScL,Ujf hjf,,s.l.,1,0
r,V w V .S W,,SchaffhaBsen,1,0
ülmer,Johann Konrad,,s.l.,1,1
Pontisella,s.n.,,Johannes,1,0
MCfcer,Hans Rudolf,,s.l.,1,0
Suilinger,Hans Rudolf,,s.l.,1,0
ali,r J.ha..,,s.l.,1,0
f,s.n.,,n. ,1,0
.....,s.n.,,K,1,0
St.,Baller Prediger,,s.l.,1,0
von,Dörnberg Adolf Wilhelm,,in Hessen Marburg,1,0
Italienische,Seietliche,,Genf,1,0
Schüler,Paulus,,Glarus,1,1
Beza,Theodor,,Gefif,1,0
V,mw. F e rw A N rnMW m,,Schaffhausen,1,0
SMW,Helatiok,,s.l.,1,0
Borrhaue,artin,,Basel,1,0
Ulaer,Johann Honrad,,Schaffhausen,1,0
TtohrrUtkt,s.n.,,Mk t j,1,0
Mieer,Hane Rudolf,,s.l.,1,0
Dluska,Agnes,,Polen,1,0
Gleia,Otto,,s.l.,1,0
Haab,Johannes,,s.l.,1,0
Erastus,Thomas,,a,1,0
Blarsr,Ambrosius,,Mel,1,0
Salis,Friedrich,von,Samden,1,1
Ebel,Heinrich,,Kassel,1,0
Melanchthon,Philipp,,Vom,1,0
Hessen,Philipp ven,,Von CJxen,1,0
y,s.n.,,Genf,1,0
ofe.e,noiX,,Nutgft j,1,0
i,s.n.,,Polen Un Tbtnice,1,0
Verweiskarte,s.n.,,Polen,1,0
Oeistliche,iv k u,,Steckborn,1,0
Krens,Hieronymus,,Diessenhofen,1,0
Erastue,Thomas,,Heidelberg,1,0
Gleim,Otto,,s.l.,1,0
GjQien,Otto,,s.l.,1,0
TU,Uvwrit,,s.l.,1,0
Brunner,Frid. und,,Geistliche von Glarus,1,0
fSfarer,Ambrosius,,Winterthur,1,0
Französische,italienisch,,Genf,1,0
n,fVj e v,,s.l.,1,0
Firich,III. v.d.Pfalz,,Heidelberg,1,0
Bochetel,Beraardin,,Konstanz oder schon wei,1,0
Bochetel,Bernardin,,Wo TATrl i narifl,1,0
Selisnger,ans Rudolf,,s.l.,1,0
Saldi,Jeaehin,,s.l.,1,0
e,s.n.,,MibZ C l y fy. j,1,0
läldl,Jcaehim,,s.l.,1,0
Curione,Celio econdo,,Basel,1,1
.........,... .......,,Vt AvJAvt k Lr ZM,1,0
Belgischdeutsche,s.n.,,London,1,0
ZVC,J,,Zr,1,0
Friedrich,III.  r,de,Heidelberg,1,0
Gwalther,Rudolf und,,Zürich,1,0
Elgiobias,s.n.,,s.l.,1,0
Haller,Jehaanes,,s.l.,1,0
Calvin,Johannes,,Genfi,1,0
itWger,.inrioh,,Zürich,1,0
Polen,s.n.,,t cA kz fl. J,1,0
Ulmer,Johann Konrad,,dieser ist hier Ulmer J. E,1,0
Cur,io Ceelius Secundus,,Basel,1,0
Vergerius,Petras Paulus,,Tübingen,1,1
Wilhelm,Sulz,von,Landgraf im Klettgau,1,0
Grindali,Edmuntf,,Parkhurst JohrtfJx,1,0
Hersog,Sui se,von,C h itUAiM CUttT,1,0
Eti,itUi,,Clrxvr,1,0
Gesner,Konrad,,Zürich,1,0
Calria,Johannes,,Genf,1,0
Egll,Tobias,,Chur,1,7
Oassander,Georg,,Köln,1,0
Tergeri,Petras Psalm,,Tübingen,1,0
Zacius,Simon,,Krakau,1,1
Ulmer,Johann Eonrad,,Schaffhausen,1,2
Szadkowski,Andreas,,s.l.,1,0
Kiszka,Johannes,,s.l.,1,0
Curio,Coelims Secundus,,Basel,1,0
Besä,Theodor,,Lausanne,1,0
Myskowski,Stanislaus,,Kr La J,1,0
S,s.n.,,Zürich,1,0
Fabricius,Johahnes,,s.l.,1,0
wJ,s.n.,,Basel,1,0
TbulU,j T JnMrU,,s.l.,1,0
Fabricus,s.n.,,Johannes,1,0
SruSnerFonteius,Fridolin,,Glarus,1,0
Billinger,H ns Rudolf,,s.l.,1,0
Ut,s.n.,,s.l.,1,0
Beza,Theodore,,s.l.,1,0
frt,Ki,,fT Tobias,1,0
VerUeli,Pietro,,t tHz,1,0
Salis,Friedrich,von,CSIA. J,1,0
M.er,Hans Rudolf,,s.l.,1,0
NN,s.n.,,s.l.,1,0
X,s.n.,,s.l.,1,0
feegexo,Pier Paolo,,Vicosoprano,1,0
Blarer,Ambrosius v,,Winterthur,1,0
Vadian,Joachim,,ede Blarer Ambrosius,1,0
vKtk,s.n.,,s.l.,1,0
Mainardi,Agostino,,Chiavenna,1,1
rtickeln,so,,. . . erfordert,1,0
r,Heinrich,,s.l.,1,0
tv.,jvfctho Hipp,,t tenbeag,1,0
ee.,am. eu ..budiua,,eeclesinc T,1,0
Zanchi,Hieronymus,,s.l.,1,0
AnnJ,s.n.,,Edle tugendtriche frouw,1,0
Peyer,Alexanr,de,Schaffhausen,1,0
Dr.,Stupany Joh rukeLu,,Basel,1,0
Calvin,jz Johannes,,Genf,1,0
Bu,Hing er fite inr ich,,i,1,0
Ulmer,Johann Konrad,,Schaf f hausen,1,0
Gessner,Konrad,,Zürich,1,0
Jtw,firJ,,s.l.,1,0
Mycoaius,Oswald,,Fasel,1,0
Beza,Theodor,,CD,1,0
P,s.n.,,c fy,1,0
Anjou,zum poln.König,,s.l.,1,0
Fapbricius,Johannes,,s.l.,1,0
a,Lasco Johannes,,C,1,1
ffffiäüer,Heinrich,,s.l.,1,0
,,Geistliche,Krakau,1,0
Kirchen,Zürich,,in asel vom Dez. l,1,0
Lydius,Martin,,Tübingen,1,1
g,.. r t r w. n,,Schaffhausen,1,0
de,BelliSvre Jean,,Solothurn,1,3
Wittgenstein,Ludwig wen,,vos v A. ,1,0
Besä,Theodor,,s.l.,1,0
Blaurer,A brsius,,s.l.,1,0
Lasicki,Johannes,,s.l.,1,0
Myconius,Oswald,,Bäsel,1,0
allen,s.n.,,. nostrae literae pervenerint,1,0
t,s.n.,,s.l.,1,0
CLkewski,Stanislaus,,j,1,0
JuUi,s.n.,,Zürich,1,0
Lindau,er,,s.l.,1,0
.ii,s.n.,,s.l.,1,0
Humphrey,Laurence,,Oxford,1,2
Konzil,Tri ent,von,Zürich Zürich und Bern,1,0
Sturm,Johannes,,Straburg,1,0
Fahricius,s.n.,,Johannes,1,0
Eduard,VI.,,London,1,0
BaU.t,qA HncL,,s.l.,1,0
Oporin,Johannes,,Basel,1,30
,,Geistliche,Emden,1,0
....,s.n.,,Fab rieius Johannes,1,0
Blaurer,A brosius,,. M,1,0
Bischofszell,s.n.,,s.l.,1,0
ffius,Johannes,,s.l.,1,0
Hotomannus,Franciscus,,s.l.,1,0
...,......,,BelllroEP. ä. ,1,0
englische,Bischöfe,,Parkhurst John Norwicn,1,0
Fabri,eius Jhamae s,,s.l.,1,0
Toggenburger,s.n.,,allgO,1,0
V,jZcJ,,s.l.,1,0
Bullinger,HansRudolf,,Berg am Irchel,1,0
EmpfäwSsmiiksiis,s.n.,,Bellievre P. de,1,0
Synode,vom Mai,,Zürich,1,0
Fdrieims,Joknnes,,s.l.,1,0
eSl,Tobias,,s.l.,1,0
Adlischwiler,jun.,,s.l.,1,0
Schultheiss,und Rat,,Winterthur,1,0
x,s.n.,,Genf,1,0
zö,C o ns t a n t,,Anno,1,0
areius,Joh nnes,,s.l.,1,0
Siegel,s.n.,,s.l.,1,0
emendavique,plures,,bibliotheca est optimis,1,0
officiosissime,s.n.,,loquacitati et si vacaverit,1,0
es,s.n.,,s.l.,1,0
Tig.,III worin,,Johannes von Ulms eingeschlossen,1,0
..,s.n.,,C ik. w,1,0
Musculus,Wolf gang,,Basel in Herwagens Haus,1,0
Blamrer,Anbreslma,,s.l.,1,0
Blaurer,A brosius,,s.l.,1,0
Krug,Kaspar,,Basel,1,0
Nägeli,Schultheiss,,Bern,1,0
fairius,Johannes,,s.l.,1,0
Thretius,Christoph,,Krakau,1,8
BUlliuger,Hans HttdClf,,s.l.,1,0
Wfäius,Johannes,,s.l.,1,0
Myconius,swald,,Basel,1,0
JR,s.n.,,Genf,1,0
Alhrecht,Preussen,von,s.l.,1,0
Viret,Pierre,,Lyon,1,1
faEricfius,Johannes,,s.l.,1,0
taBW,elnrich,,s.l.,1,0
von,Rappoltstein,,Ribeaupierre,1,0
Sulzer,S.,,s.l.,1,0
Hiller,ekanres,,o,1,0
Fabriaius,Hk nnes,,s.l.,1,0
Fabrcius,Johannes,,s.l.,1,0
ainrich,s.n.,,s.l.,1,0
BelliAvre,P.,de,s.l.,1,0
Calvin,Jehannes,,s.l.,1,0
Hu,LU A,,s.l.,1,0
Salzer,Simon,,s.l.,1,0
Stumpf,Johannes,,s.l.,1,0
Myconius,.Oswald,,Basel,1,0
uUf,f cn A,,s.l.,1,0
Erastus,Thomas,,Zirler Stephan,1,0
Wittgenstein,Ludwig,von,tvonjoj zu V,1,0
Bullinger,Jsua,,St. Gallen,1,0
Babrieius,Jekannes,,s.l.,1,0
Hugo,Johannes,,s.l.,1,3
Grey,Henry,,London,1,0
..,s.n.,,have a look at your,1,0
Haller,Wolf,,Amberg,1,0
V...,ci,,IKönig von England j,1,0
S,s.n.,,Genf,1,0
Myconius,Oswqld,,Basel,1,0
Bäldi,Joachim,,Giarus,1,0
Alle,Evangelische in,,und in andern Ländern,1,0
Fabricius,s.n.,,Johanns,1,0
Grindal,Edmund,,s.l.,1,0
S,ndys Edwin,,Hl,1,0
Bürgermeister,und Hat,,BaldassareAltieri,1,0
Pfalzgraf,u Willi v Hes,,rLrvVW ffi,1,0
Wbias,s.n.,,s.l.,1,0
w,w N v wvwrr,,Schaffhausen,1,0
i,s.n.,,abricius Johannes,1,0
Bürgermeister,Georg Mülle,,Z. uridrx,1,0
rgermeister,und Bat,,o. O. Vinterthur,1,0
Gwalthert,s.n.,,s.l.,1,0
Merelnrich,s.n.,,s.l.,1,0
Zürcher,s.n.,,Geistliche,1,0
ahricius,Johannes,,s.l.,1,0
gCi,ipotias,,s.l.,1,0
Wittenstein,Ludwig .,von,zu V,1,0
Wetter,David,,St Gallen,1,0
Friedrich,Pfalzgraf,,s.l.,1,0
FriedriclfPfalzgraf,s.n.,,s.l.,1,0
gö,TobSae,,s.l.,1,0
Wilhelm,Landgraf,von,Kassel April,1,0
Altieri,Balthasar,,Calcinato bei Brescia,1,0
Lentulo,Scipio,,Chiavenna,1,0
Kirchenräte,r Chur,de,pflaz,1,0
Hessen,Philipp,von,s.l.,1,0
den,Heilberger,de,von,1,0
t,s.n.,,Hemmingen,1,0
Calvin,Johannes,,G nf,1,3
zys,sf,,Knry r,1,0
Wittgenstein,Ludwig ven,,rtrCij,1,0
Lindauer,Bernhard,,Winterthur,1,1
Hooper,sich befinnn,de,in Anglia Episcopus,1,0
Sgff.,r Jehumes,,Ohtsys,1,0
Moldau,und Walachei,,es je einen Fürsten,1,0
Jacobus,Heraclis Despcita,de,MoldauRumänien,1,0
abricius,s.n.,,s.l.,1,0
Wkowskl,Stanislaus,,KrxU eW,1,0
H.inrich,s.n.,,s.l.,1,0
Erb,Matthias,,R eichenweier,1,0
Fahrieius,Johannes,,s.l.,1,0
Kleinpolnische,Senioren,,fustlsA LIrKrci J,1,0
Stumpf,Johann Rudolf,,Oxford,1,4
Lisnaninus,Franciscus,,ncZevJ,1,0
Kleinpolen,s.n.,,s.l.,1,0
KffiBbr,Heinrich,,s.l.,1,0
VTV,C.,,s.l.,1,0
F,b.,,den kindem vil,1,0
Haller,Jehannes,,Bern,1,2
gesichert,nicht nur weil r,de,zwischen Ulmer und,1,0
ptf,Myconius Oswald,,Basel,1,0
Blaurer,A orosius,,s.l.,1,0
..,V,,Cl,1,0
Hessen,s.n.,,Philipp yen,1,0
Besä,Theodor,,Genf,1,5
Vogt,Simprecht,,Schaffhausen,1,22
Dryander,Franciscus,,flanterbury,1,0
Utenhove,Johannes,,t i,1,0
Geistliche,s.n.,,Emden,1,0
t,s.n.,,QldsC. HTtos Cutiliis,1,0
r,s.n.,,n,1,0
Sgli,Tobias,,s.l.,1,0
...,s.n.,,Rappoltstein Elsass,1,0
Hullinger,Hane Rudolf,,Berg,1,0
Rat,....,von,s.l.,1,0
fvi.,s.n.,,König vonEngland usw. ,1,0
ISHMELes,Zürichbiets,,nian Adrian. Sehnyder,1,0
FabriTa,s.n.,,Joanne,1,0
abrieius,Johannes,,s.l.,1,0
Henry,Bourbon prince,de,Straburg,1,0
von,Wittgenstein Ludwig,,Berleburg,1,0
Ghralther,Rudolf,,s.l.,1,0
weither,Rudolf jwn.,,England,1,0
rtickfeln,so,,erfordert hat,1,0
es,n,,Schaffhausen,1,0
......,s.n.,,Basel,1,0
ev.Lindauer,Bernhard,,tung,1,0
Coignet,Matthieu Sohn,,Genf,1,0
MSSser,Heinrich,,s.l.,1,0
Froschauer,Christoph ..,,s.l.,1,0
Holdenaeer,Joqäet,,Luzern,1,0
Dammatter,s.n.,,Christian,1,0
Eduard,VI.,,König vo England,1,0
Egli,Tobias,,C. ,1,0
Bftldi,Joachim,,Z,1,0
r,s.n.,,Fabricius Johannes,1,0
abricius,Jehannes,,s.l.,1,0
Müer,Heinrich,,s.l.,1,0
Badziwill.,s.n.,,s.l.,1,0
Tf,vw,,J,1,0
Diesbach,Niklas,von,Bern,1,0
Blaurer,A bresius,,s.l.,1,0
Hadziwill,s.n.,,Nikolaus,1,0
Haller,Johannes,,ITU . O,1,0
Utenhove,Jan,,London,1,2
Sger,Heinrich,,s.l.,1,0
Stuck,Johann Wilhelm,,ArC,1,0
Albrecht,Preussen,von,Königsberg,1,0
v,fu. r e ri,,Schaffhausen,1,0
Wfkser,Heinrich,,s.l.,1,0
...,s.n.,,Beza Theodor,1,0
EgLi,Tobias,,Chur,1,0
VCflotfnrs,ft yti,,hrU,1,0
Gutachten,über,,Abendmahl,1,0
ahricius,s.n.,,Johannes,1,0
O.,..r,,lafire ius Johannes,1,0
Calvin,Hehannes,,s.l.,1,0
Bullinger,Heinrich,,Zürich,1,76
....,X,,Chur,1,0
Calvin,Johannes,,V,1,0
BUllinger,Hans Rudolf,,Berg,1,0
Foxe,John,,Salisbury,1,0
Verget,Pietro Paolo,,s.l.,1,0
Ulmer,ohatin Konrad,,Schaffhausen,1,0
Henry,Bourbon pnnce,de,Straburg,1,0
MSier,Heinrich,,s.l.,1,0
CeaIus,Georg,,s.l.,1,0
Vergerius,Petrus Paulus,,n,1,0
Friedrich,Pfalzgraf,,am Bhein,1,0
de,Bellievre Jean,,BadenG,1,0
m,s.n.,,Blaurer Ambresius,1,0
Finsler,osua,,Biel,1,0
Sieber,Bnseb,,s.l.,1,0
Blarer,Thomas,,Griessenberg,1,1
Brief,Doppelblatt fo,,über Paul Ejbers Buch,1,0
SK,Heinreh,,s.l.,1,0
Kirchen,und eistliehe,,Ungarn,1,0
Matthaeus,Johannes,,s.l.,1,0
Bullig,er ans Rudolf jt,,s.l.,1,0
lulanger,Hans,,Rudolf,1,0
Tschudi,Aegidius,,s.l.,1,0
v.Tl,s.n.,,Fabricius Johannes,1,0
Hat,tc.,,s.l.,1,0
...,s.n.,,Mont Christoph,1,0
Soerinus,Leonhard,,Ulm,1,0
SftluB,Johannes,,s.l.,1,0
tTkbia,s.n.,,s.l.,1,0
V,s.n.,,Coligny Gasja rd de,1,0
Feza,Theodor,,s.l.,1,0
Eudolf,s.n.,,Zürich,1,0
WMger,Heinrich,,s.l.,1,0
Fabricius,Johaaaec,,s.l.,1,0
jFabrleius,Johannes,,s.l.,1,0
Wfobias,s.n.,,s.l.,1,0
j,s.n.,,Zanchi Hieronymus,1,0
Sandys,Edwin,,Worcester,1,1
Stephan,Andreas,,MährenMoravi a,1,0
Mm,s.n.,,er Rudolf,1,0
Burcher,John,,Strassburg,1,14
rwi.,.yfts.,,verstorbenen Personen,1,0
Fabrieims,Jehammes,,s.l.,1,0
Cal,via Jokaaaee,,s.l.,1,0
Fabri,cius Jehannes,,s.l.,1,0
r,s.n.,,die frantzössisch,1,0
Kriegen,in r Eydtgno,de,s.l.,1,0
Haller,Hohannew,,s.l.,1,0
Haller,JohannesJ,,s.l.,1,0
Sozzini,Lelio,,Zürich,1,2
Geistliche,s.n.,,Schaffhausen,1,1
rwifier,Rudolf,,Zürich,1,0
Eglf,Tobias,,s.l.,1,0
Hat,s.n.,,Genf,1,0
j,s.n.,,Zürich,1,0
Bing,Simon,,Kassel,1,0
vv,s.n.,,s.l.,1,0
MX,Jeelime.,,s.l.,1,0
Calvin,Johannes,,. . . . . . ,1,0
BfMSfeer,Heinrich,,s.l.,1,0
Calvin,Jokannes,,s.l.,1,0
gli,Tobias,,s.l.,1,0
oJLju,J Th,,Z Ji,1,0
.Wsu.,rtr,,aestivum tempus ducendo,1,0
Friedrich,Ill.v.d. Pfalz,,Heidelberg,1,0
PnTH,tn Twkiiwe,,ertf. ,1,0
Fabritius,Johannes,,Chur,1,0
fiamus,Pierre,,s.l.,1,0
belegt,ist,,erlebt dieser wird,1,0
Blarer,s.n.,,Biel,1,0
Zurkinden,Zerchintes,,Bern,1,0
i,s.n.,,Kessler Johannes,1,0
Sozzini,Lelio,,. . ,1,0
Bullingervfiadolf,s.n.,,s.l.,1,0
von,Rappoltstein,,Rappoltstein Ribeaupiere,1,0
Balet,Wolfgang,,Chur,1,0
Kambli,Johannes,,Zürich,1,0
at,Friedrlek ren Saakaen,,s.l.,1,0
Georg,Württemberg,von,Mömpelgart,1,0
X,s.n.,,Genf,1,0
Fius,Johannes,,s.l.,1,0
J,k,,s.l.,1,0
farius,Johannes,,s.l.,1,0
HGh,TZtsJo Ti,,s.l.,1,0
Bürgermeister,UT flBT,,Zürichs,1,0
Curione,Celio Secundo,,Basel,1,1
CalTin,Johanne,,s.l.,1,0
Jl,s.n.,,s.l.,1,0
Bürgermeister,u Hab,,Zürich,1,0
i,s.n.,,f,1,0
Schürmeister,Benedikt,,Zofingen,1,0
SgftA,Bullinr Haas Rud,de,s.l.,1,0
Traheron,Bartholomew,,s.l.,1,0
Philipp,Landgraf,von,Hessen ö,1,0
J,s.n.,,Zürich,1,0
St,Galler Geistliche,,s.l.,1,0
Rüeger,Jakob und,,Schaffhausen,1,0
SlfirSobias,s.n.,,s.l.,1,0
Tllinger,s.n.,,s.l.,1,0
Prediger,in Chur u.,,Graubünden,1,0
von,Wittgenstein Ludwig,,BerleburgHeidelberg,1,0
Wilhelm,Hessen Ldgf,von,s.l.,1,0
Honu,Robert,,Winchester,1,0
irbel,Bheln H l,,gf. ,1,0
Mysonius,Oswald,,Basel,1,0
Calvin,s.n.,,Johannes,1,0
HstLer,s.n.,,Johannes,1,0
Bäldi,Michael,,s.l.,1,0
Bürgermeister,und Rat,,Schaffhausen,1,0
Blaurer,trosius,,s.l.,1,0
Bäldi,Joachim or,de,Glarus,1,0
Stucki,Johann Wilhelm,,Tübingen,1,4
Fahrleime,JehmMüB,,s.l.,1,0
c,ac b,,s.l.,1,0
Neujahrsgeschenke.,s.n.,,Er erwähnt noch nichts,1,0
Vadian,Joachim,,s.l.,1,0
Bluntschli,Johannes,,Ottenbach,1,0
fclg.r,H.iarich,,s.l.,1,0
Mfier,Heinrich,,s.l.,1,0
IS,M jZh,,s.l.,1,0
...,s.n.,,Fabricius Helmrieh,1,0
E,s.n.,,LU,1,0
Bern,s.n.,,Schaffhausen,1,0
fTf,s.n.,,V,1,0
J,s.n.,,Basel,1,0
HS,Johmm KonradJ,,Schaffhausen,1,0
i,obias,,s.l.,1,0
Calvlm,Johammes,,s.l.,1,0
Märtyrer,Lyon,von,s.l.,1,0
Fabriciae,Jehamaes,,v,1,0
Heidelberger,s.n.,,jC IUL rrJ,1,0
eA,er Bu,,Vttn,1,0
Schulherr,Scholarch,,Zürich,1,0
Finck,onrad,,Mülhausen Eisass,1,0
Prediger,BaselSchaf,von,hausenMülhausen,1,0
Gast,Johannes,,Basel,1,106
SgiTtobias,s.n.,,s.l.,1,0
Savoyen,Margareta,von,s.l.,1,0
Hospinian,Schäme s,,s.l.,1,0
Erb,Matthias,,Reichenweiererhez. . ,1,0
Philipp,Landgraf,von,empf. am Dez. ,1,0
S,s.n.,,Hirzel,1,0
Pflüger,Alexanr,de,e e,1,0
Calvin,Johanne,,s.l.,1,0
Calvin,hctuuei,,qPMf,1,0
Pgtoan,Konrad,,Zürich,1,0
Myconius,Oswald Suizer,,Basel,1,0
Herdessianus,Harsheim,de,Nürnberg,1,0
w,s.n.,,Fabricius Jehannes,1,0
Heinrich,II.,von,Frankreich,1,0
Bulliger,Hans Budolf,,s.l.,1,0
TT,s.n.,,Ulm,1,0
fj,fo lJ,,s.l.,1,0
Fabricius,Joahnnes,,s.l.,1,0
iVbrieius,Johannes,,s.l.,1,0
Home,Riohard Kwv,,s.l.,1,0
f,........,,Solo thurn,1,0
Balis,Briedrich,von,s.l.,1,0
Ulmer,Johann onrad,,Schaffhausen,1,0
Blarer,Imbrosius,,Biel,1,0
Cälyin,Johannes,,Genf,1,0
Pellikan,Konrad,,Baden,1,0
t,TkeUotJ,,s.l.,1,0
Henry,Bourbon pnnce,de,Basell,1,0
Y,Froschauer Christoph,,s.l.,1,0
CZürcherSchweizer,s.n.,,d. ,1,0
er,einrich,,s.l.,1,0
Hotaan,rangeis,,Genf,1,0
Du,Que.snoy Quercetanus,,Basel,1,0
Wolfgang,Wissenburg,,s.l.,1,0
Haller,Jehannes,,s.l.,1,0
Olevianus,Kaspar,,Heidelberg,1,2
H,s.n.,,Fabricius Johannes,1,0
HgEi,Tobias,,s.l.,1,0
ge,r Heinrich,,s.l.,1,0
EmpfängstV,.....,,Fabricius Johannes,1,0
,,Geistliche,ms Strassburg,1,0
Schüler,Paulus,,Schwanden,1,1
..,s.n.,,die er von,1,0
ffiier,Budolf,,s.l.,1,0
MSW,Heinrich,,Zürich,1,0
r,einrich,,s.l.,1,0
w.....,v .W r,,Hei nricb,1,0
Haller,Joknnes,,s.l.,1,0
r,s.n.,,Genf,1,0
Herdes,si anus Harsheim,de,Nürnberg,1,0
....,s.n.,,Chur,1,1
Stoger,Heinrich,,s.l.,1,0
ahricius,Jehannes,,s.l.,1,0
Wienern,r Kirchen Zürich,de,Laden des Papsts in das,1,0
iSteier,s.n.,,Etudolf,1,0
Kessler,Johhnem,,s.l.,1,0
Pabricius,Johannes,,s.l.,1,0
irsttirhe,,von,Chiavenna,1,0
Gwalther,Rudolf,,UrdorfZH,1,0
lafdf,fochim,,s.l.,1,0
Maeonius,Oswald,,Basel,1,0
V,T,,Schaffhausen,1,0
Vergerius,Petrus Paulus,,s.l.,1,1
Ulmer,Johann Honrad,,Schaffhausen,1,1
Boza,Dheodor,,Genf,0,1
Melander,Dionysius,,Wittenberg,0,1
Zemlinus,Laurentius,,Leipzig,0,2
Strigelius,Victor,,Heidelberg,0,1
Pontiisellla,s.n.,,Johannes,0,1
Zanchi,Hieronimus,,Chiavenna,0,1
Jociscus,Andreas,,Basel,0,1
Hirten,Georg,von,Augsburg,0,1
Rollius,Nikolaus,,Wesel,0,1
Bappoltstein,A na Alex.,,Bppoltstein,0,1
Martinengus,Ulisses,,Genf,0,1
Bullinder,Heinrich,,Zürich,0,1
Funck,Johannes,,Kaufhenren,0,1
Wfön,Georg,von,Augsburg,0,1
Utenhove,Jan d.J.,,Basel,0,2
girier,Stephan,,s. . ,0,1
Mattinengus,Ulisses,,Chiavenna,0,1
Vergerio,Pietro Paolo,,Tübingen,0,2
Anastasius,Johannes,,S. eeg loei,0,1
Fabricius,Johannes,,Chm ur,0,1
Thretius,Christoph,,Kfakau,0,1
Lydius,MartInus,,Tübingen,0,1
,,Geistliche,St. Gallen,0,1
Martinua,s.n.,,s.l.,0,1
Wisseriburg,Wolfgang,,Basel,0,1
Schlüsselberger,Gabriel,,lümberg,0,1
m,Joachim,,Glarus,0,1
fiftf,s.n.,,s.l.,0,1
Zanchi,Hieronimus,,Flurs,0,1
Hortinus,Michael,,Metz,0,1
Tobias,s.n.,,Chur,0,2
Erastus,Thomas,,Heidelberf,0,1
Lentulus,Scipio,,Chiavenna,0,7
Lydius,iS,,Frankfurt,0,1
Uea,Kgrf Karl,,Neytb Carolus,0,1
Bäldi,foachim,,Glarus,0,1
Haler,Josua,,Elgg,0,1
Blaurer,A brosius,,LeutmerkenWinterthur,0,1
Hochholzer,Christian,,s.l.,0,1
Mülinen,Beat Ludwig,,von,0,1
Bäldl,Joachim,,s.l.,0,1
Mötnhart,Georg,,Kirberg,0,1
jfearno,Stanislaus,,Frankfurt,0,1
ml,.Zfv,,Witte riberg,0,1
Mülinen,Beat Ludwig,von,Bern,0,1
Sulzer,imon,,B sel,0,1
ur,kiS,,s.l.,0,1
girier,Stephan,,Maulbronn,0,1
vom,Stetten Georg,,Augsburg,0,1
cU,AWtmejfl,,CMaulny t,0,1
Radziwill,Nikolaus,,Brest,0,1
Hilles,Richard,,Bondon,0,1
eza,Theodor,,s.l.,0,1
Mülfnen,Beat Ludwig vom,,Bern,0,1
Liner,frans,,St. Gallen,0,1
Myzkowski,Stanislaus,,Krakau,0,1
Beza,Zheodor,,Genf,0,1
Salier,Johannes,,Bern,0,2
Absendej,s.n.,,Stein Rhein,0,1
Stucki,Jojjann Wilhelm,,Tübingen,0,1
Tlllmanr,Samuel,,Beruf,0,1
üi,Joachln,,Glarus,0,1
Stockarum,Benedikt,,s.l.,0,1
Blaurer,A brosius,,nterthur,0,1
Rappoltstein,Egenelf,,von,0,1
Salis,Friedrich,von,s.l.,0,1
Erastus,Thomas,,Maulbronn,0,1
Herterus,Johannes,,Ganhnang,0,1
Seen,Georg,von,Aygsburg,0,1
RolljLus,Nikolaus,,Wesel,0,1
Bullinger,Heinrich,,Zürivh,0,1
W,IPM.S,,Chur,0,1
Mülgmen,Beat Ludwig,von,lern,0,1
Egli,fobias,,Chur,0,1
l,Edmund,,London,0,1
ieivre,l,,Solothurn,0,1
Haller,Jehumes,,Bern,0,1
Eili,Tobias,,Chur,0,1
aricius,Johannes,,Chur,0,1
BelliSvre,Pomponne,de,Baden,0,1
Viret,eter Pierre,,Lyo,0,1
Johannes,s.n.,,Bern,0,4
Schöpf,ThqtiBs,,Rappoltsweiler,0,1
tt,Joachim,,s.l.,0,1
zSäiiS,s.n.,,s.l.,0,1
Dathenus,Petras,,Frankenthal,0,1
MenscheverCus,Heinrich,,Luzern,0,1
Blaurer,Ambresius,,Leutmerken,0,1
Vergeri,Aureli o,,Tubingeh,0,1
Zanchi,Hiereaiae,,Chiavenna,0,1
Stetten,Goerg,von,Augsburg,0,2
Stockar,Benedikt,,Obelleunforn,0,1
n,bta lawl,,Ttwrvizt T,0,1
Rappoltstein,Anna Alex.,,Rappoitstein,0,1
Friedrich,III. r Fromme,de,von der Pfalz,0,1
